method,factor,label,time_bin,time,median,lower,upper,n
MEFISTO,factor_3,FIN/EST,1,165.0,-1.9000598192214968,-1.9190614223480225,-1.8794220685958865,97
MEFISTO,factor_3,FIN/EST,2,293.5,-1.9188581975036083,-1.9331740904659094,-1.8967633545398712,82
MEFISTO,factor_3,FIN/EST,3,386.0,-1.9284293722589765,-1.9569720923900606,-1.9093286960762352,88
MEFISTO,factor_3,FIN/EST,4,482.0,-1.9296741485595703,-1.951726333820594,-1.899784163776547,113
MEFISTO,factor_3,FIN/EST,5,576.5,-1.921030441402713,-1.9480251371860504,-1.9022862218128105,116
MEFISTO,factor_3,FIN/EST,6,669.0,-1.91763747802416,-1.9450482726097107,-1.8981610462275222,107
MEFISTO,factor_3,FIN/EST,7,712.0,-1.9189136028289795,-1.926878571510315,-1.8772558419981007,13
MEFISTO,factor_3,FIN/EST,8,854.0,-1.881731986999512,-1.909104062738865,-1.8674462437629697,71
MEFISTO,factor_3,FIN/EST,9,887.0,-1.8826014257191646,-1.8985320285907954,-1.874910980463028,8
MEFISTO,factor_3,FIN/EST,10,1059.0,-1.8165974617004395,-1.86690093657104,-1.7950604557991028,8
MEFISTO,factor_3,FIN/EST,11,1098.5,-1.8027406930923462,-1.8957488100224817,-1.7738222181797028,62
MEFISTO,factor_3,RUS,0,102.0,-1.8981904983520508,-1.926963675354348,-1.8689510524272919,6
MEFISTO,factor_3,RUS,1,185.0,-1.9183593815979816,-1.9293952645552195,-1.9022319912910461,75
MEFISTO,factor_3,RUS,2,264.0,-1.9249811172485352,-1.9453991320194475,-1.9053012132644653,115
MEFISTO,factor_3,RUS,3,365.0,-1.9275621175765991,-1.9553335905075075,-1.9127481788570344,125
MEFISTO,factor_3,RUS,4,449.0,-1.937461495399475,-1.9631088972091677,-1.9133070707321167,101
MEFISTO,factor_3,RUS,5,549.0,-1.935157060623169,-1.9588450193405151,-1.908289068983306,81
MEFISTO,factor_3,RUS,6,638.0,-1.9210569176311734,-1.9367606937885282,-1.9034374750088525,56
MEFISTO,factor_3,RUS,7,725.0,-1.8966538906097408,-1.9176152606989856,-1.8772574663162231,47
MEFISTO,factor_3,RUS,8,829.5,-1.887193500995636,-1.9090754985809328,-1.8598959147930143,24
MEFISTO,factor_3,RUS,9,919.0,-1.8441716432571411,-1.8596026599407196,-1.824379026889801,12
MEFISTO,factor_3,RUS,10,1011.5,-1.8026285767555237,-1.81448557972908,-1.79032900929451,12
MEFISTO,factor_3,RUS,11,1101.0,-1.7651102542877195,-1.796927034854889,-1.7557552456855774,3
MEFISTO,factor_4,FIN/EST,0,62.5,0.3784563544207258,-0.12395242485596912,0.7823400032789238,142
